home,away,home_goals,away_goals,home_win,away_win,draw,weights1,weights2
Olympique Marseille,RC Strasbourg,1,1,0.0,0.0,1.0,1,1.0
Paris Saint-Germain,RC Lens,2,1,1.0,0.0,0.0,1,0.0
Lille OSC,OGC Nice,2,0,1.0,0.0,0.0,0,0.0
Girondins Bordeaux,Stade Rennes,1,0,1.0,0.0,0.0,0,0.0
Stade Brest,FC Nantes,1,4,0.0,1.0,0.0,4,3.0
Dijon FCO,FC Metz,1,5,0.0,1.0,0.0,5,3.0
FC Lorient,Angers SCO,2,0,1.0,0.0,0.0,0,0.0
Nîmes Olympique,Stade Reims,2,2,0.0,0.0,1.0,2,1.0
Montpellier HSC,AS Saint-Étienne,1,2,0.0,1.0,0.0,2,3.0
AS Monaco,Olympique Lyon,2,3,0.0,1.0,0.0,3,3.0
RC Lens,Lille OSC,0,3,0.0,1.0,0.0,3,3.0
FC Nantes,Girondins Bordeaux,3,0,1.0,0.0,0.0,0,0.0
Olympique Lyon,FC Lorient,4,1,1.0,0.0,0.0,1,0.0
AS Saint-Étienne,Olympique Marseille,1,0,1.0,0.0,0.0,0,0.0
Angers SCO,Dijon FCO,3,0,1.0,0.0,0.0,0,0.0
FC Metz,Nîmes Olympique,0,3,0.0,1.0,0.0,3,3.0
OGC Nice,Stade Brest,3,2,1.0,0.0,0.0,2,0.0
RC Strasbourg,Montpellier HSC,2,3,0.0,1.0,0.0,3,3.0
Stade Reims,AS Monaco,0,1,0.0,1.0,0.0,1,3.0
Stade Rennes,Paris Saint-Germain,1,1,0.0,0.0,1.0,1,1.0
